Item Name, Price
DC Power Supply Jack Socket Panel Mount 5.5 x 2.1mm 5PCS,₱69
Battery Holder AAA 3S Case Box With Leads With ON/OFF Switch Cover,₱35
Battery Holder AAA 2S Case Box With Leads With ON/OFF Switch Cover,₱29
Battery Holder 4 x AAA,₱39
Battery Holder 3 x AAA,₱35
Battery Holder 1 x AAA,₱19
Lead Screw T8 380mm Stainless Steel with Brass Nut,₱179
PTFE Tape High Temperature Resistant,₱97
Bracket DC Motor Geared Holder JGA25 310 370 GA25,₱39
JST XH Connector Male 2.54mm Pitch 2 Pin 5PCS,₱25
JST XH Connector Male 2.54mm Pitch 3 Pin 5PCS,₱25
WIFI Antenna 12dbi 2.4G 5.8G Dual Band Pole Antenna SMA Male with Magnetic Base For Router Camera Signal Booster,₱179
Nextion 2.8" UART TFT LCD Module Display Panel NX3224T028,₱1 799
Nextion 4.3" UART TFT LCD Module Display Panel NX4827T043,₱3 829
Nextion 5.0" UART TFT LCD Module Display Panel NX8048T050,₱4 637
Teensy LC 32-bit Microcontroller,₱905
DC TT Geared Motor 6V 160RPM L Shape,₱49
MAX485 TTL to RS-485 Module,₱29
MAX6675 Temperature Sensor Thermocouple Module,₱159
Battery Lithium Ion Polymer with Short Cable - 3.7V 350mAh,₱499
eSUN Matte Milky White ePLA 3D Printer Filament Dimensional Accuracy +/- 0.03 mm 1 kg Spool 1.75 mm,₱799
eSUN Matte Deep Black ePLA 3D Printer Filament Dimensional Accuracy +/- 0.03 mm 1 kg Spool 1.75 mm,₱799
Switching Power Supply 12V 3A 38W Compact Body,₱249
Mecanum Left and Right Wheel Pair 48mm Diameter TT Motor or Cross Axle Set,₱249
Aluminum Metal Heatsink Raspberry Pi 4 Case - Without Fans,₱599
W420 Steel Ball Universal Wheel N20,₱29
DC 6V Gear Motor with Encoder 300RPM,₱709
WisBlock Starter Kit IoT Module BLE Lora AS923,₱1 965
Smart Robot Car Small 2WD Motor Chassis,₱185
Keypad 5 Independent Tactile Button 1x5 Row,₱89
Total number of items: ,30
